ADDRESS1,ADDRESS2,ADDRESS3,AREA,CATEGORY,CE_CATEGORY,CITY,CLOSE_DATE,COLLECTION_DAY,CREATED_BY,CREATED_BY_USER,CREATION_DATE,DEPARTMENT,DISTRICT,DIVISION,FOLLOWUP_DATE,FULL_ADDRESS,GROUP_NAME,INCIDENT_ID,INCIDENT_NUMBER,INCIDENT_RESOLVED_DATE,INCIDENT_TYPE_ID,LAST_MODIFIED_DATE,LAST_UPDATE_DATE,LAST_UPDATE_LOGIN,LAST_UPDATED_BY,Location 1,MAP_PAGE,MLGW_ON,MLGW_STATUS,NEXT_OPEN_TASK_DATE,NUMBER_OF_TASKS,OWNER_NAME,PARCEL_ID,POSTAL_CODE,REPORTED_DATE,REQUEST_PRIORITY,REQUEST_STATUS,REQUEST_TYPE,RESOLUTION_CODE,RESOLUTION_CODE_MEANING,RESOLUTION_SUMMARY,SR_CREATION_CHANNEL,STATE,STREET_NAME,SUB_DISTRICT,SWM_CODE,TARGET_BLOCK,ZONE,location1,SUMMARY_1,City Council Districts,South City,SC Quarter Mile Buffer,Memphis 3.0 Planning Districts,Shelby County Zip Codes
"3131 Caledonian Rd, Memphis TN 38119, United States",,,E,Cart Maintenance,,MEMPHIS,,Wednesday,,,11/15/2024 09:33:01 AM,Solid Waste Management,,Solid Waste Management,,"3131 CALEDONIAN RD, MEMPHIS TN 38119, UNITED STATES",MEMPHIS,7182818,7182818,,10441,,11/15/2024 03:23:13 PM,,jjackson_AWPM,"3131 CALEDONIAN RD, MEMPHIS TN 38119, UNITED STATES",,,A,,,,081089 L00025,,11/14/2024 06:00:00 PM,Medium,Open,SWM-Missing Cart,,,,WEB,TN,CALEDONIAN RD,,,,E1,POINT (-90.04925 35.14976),Not Applicable,7,,,8,5
2351 FAXON AVE,,,B,Billing,,MEMPHIS,,Thursday,,,11/15/2024 09:10:47 AM,Solid Waste Management,,Solid Waste Management,,2351 FAXON AVE MEMPHIS TENNESSEE,Memphis,7182796,7182796,,10442,,11/15/2024 03:23:13 PM,,jjackson_AWPM,2351 FAXON AVE,,,A,,,,052016  00002,,11/15/2024 09:08:00 AM,Low,Open,SWM-New Start Garbage Request,,,,WEB,Tennessee,FAXON AVE,,,,B2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
25 S WALNUT BEND RD,,,E,Garbage,,MEMPHIS,,Wednesday,,,11/15/2024 04:18:00 PM,Solid Waste Management,,Solid Waste Management,,25 S WALNUT BEND RD MEMPHIS TENNESSEE,Memphis,7183099,7183099,,10432,,11/15/2024 04:18:00 PM,,,25 S WALNUT BEND RD,,,,,,,091106  00003,,11/15/2024 04:15:00 PM,Low,Open,SWM-Garbage Missed,,,,WEB,Tennessee,S WALNUT BEND RD,,,,E1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
,,,,Maintenance,,MEMPHIS,11/15/2024 08:11:29 AM,,,,11/15/2024 08:57:48 AM,STREET MAINTENANCE,,Public Works,,,MEMPHIS,50076307,50076307,,10438,,11/15/2024 08:57:48 AM,,,,070,,,,,,,,11/15/2024 08:57:48 AM,Low,Closed,PW (SM)-Alley Cutting,SWMRL1,,,WEB,Tennessee,,,,,,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
3425 MACON RD,,,B,Cart Maintenance,,MEMPHIS,,Wednesday,,,11/15/2024 09:57:10 AM,Solid Waste Management,,Solid Waste Management,,3425 MACON RD MEMPHIS TENNESSEE,Memphis,7182843,7182843,,10441,,11/15/2024 03:23:13 PM,,jjackson_AWPM,3425 MACON RD,,,A,,,,038049  00003,,11/15/2024 09:53:00 AM,Low,Open,SWM-Missing Cart,,,,WEB,Tennessee,MACON RD,,,,B2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
1763 GREENVIEW CIR,,,A,Cart Maintenance,,MEMPHIS,,Wednesday,,,11/15/2024 02:35:20 PM,Solid Waste Management,,Solid Waste Management,,1763 GREENVIEW CIR MEMPHIS TENNESSEE,Memphis,7183001,7183001,,10668,,11/15/2024 03:23:13 PM,,jjackson_AWPM,1763 GREENVIEW CIR,,,A,,,,041020  00071,,11/15/2024 02:32:00 PM,Low,Open,SWM-Carts Out After-hours,,,,WEB,Tennessee,GREENVIEW CIR,,,,A3,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
1255 RICHLAND DR,,,D,Garbage,,MEMPHIS,,Tuesday,,,11/15/2024 11:26:52 AM,Solid Waste Management,,Solid Waste Management,,1255 RICHLAND DR MEMPHIS TENNESSEE,Memphis,7182902,7182902,,10431,,11/15/2024 03:23:13 PM,,jjackson_AWPM,1255 RICHLAND DR,,,A,,,,079115  00011,,11/15/2024 11:24:00 AM,Low,Open,SWM-Missed Bulk Trash,,,,WEB,Tennessee,RICHLAND DR,,,,D3,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
722 E BODLEY,,,,Weeds,,MEMPHIS,,,,,11/15/2024 09:10:55 AM,GROUNDS MAINTENANCE,,Public Works,11/23/2024 03:09:54 AM,722 E BODLEY MEMPHIS TN 38106,MEMPHIS,50076313,50076313,,10205,,11/15/2024 09:10:55 AM,,,722 E BODLEY,,,,,,,049064  00030,38106,11/15/2024 09:10:55 AM,Low,In Progress,CW-Weeds Vacant Lots,VIOLATION,,Property in Violation,WEB,TN,E BODLEY,,,133,,POINT (-90.05211 35.11597),Not Applicable,6,,1,14,6
3715 CANARY CV,,,D,Garbage,,MEMPHIS,,Friday,,,11/15/2024 10:13:19 AM,Solid Waste Management,,Solid Waste Management,,3715 CANARY CV MEMPHIS TENNESSEE,Memphis,7182860,7182860,,10432,,11/15/2024 03:23:13 PM,,jjackson_AWPM,3715 CANARY CV,,,A,,,,082020  00061,,11/15/2024 10:09:00 AM,Low,Open,SWM-Garbage Missed,,,,WEB,Tennessee,CANARY CV,,,,D1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
6219 HADDINGTON DR,,,E,Recycle,,MEMPHIS,,Wednesday,,,11/15/2024 11:36:54 AM,Solid Waste Management,,Solid Waste Management,,6219 HADDINGTON DR MEMPHIS TENNESSEE,Memphis,7182908,7182908,,10435,,11/15/2024 03:23:13 PM,,jjackson_AWPM,6219 HADDINGTON DR,,,A,,,,081051  00160,,11/15/2024 11:35:00 AM,Low,Open,SWM-Recycling Missed,,,,WEB,Tennessee,HADDINGTON DR,,,,E1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
7033 MCVAY PLACE DR,,,E,Cart Maintenance,,MEMPHIS,,Wednesday,,,11/15/2024 10:19:24 AM,Solid Waste Management,,Solid Waste Management,,7033 MCVAY PLACE DR MEMPHIS TENNESSEE,Memphis,7182868,7182868,,12750,,11/15/2024 03:23:13 PM,,jjackson_AWPM,7033 MCVAY PLACE DR,,,A,,,,081072  00003,,11/15/2024 10:17:00 AM,Low,Open,SWM-Recycle Cart Repair,,,,WEB,Tennessee,MCVAY PLACE DR,,,,E1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
,,,,New Installation,,MEMPHIS,,,,,11/15/2024 07:34:09 AM,Speed Humps,,Engineering,,,,7182733,7182733,,10372,,11/15/2024 07:34:09 AM,,,,,,,,,,,,11/15/2024 07:18:00 AM,Low,Open,EN-Speed Hump Request,,,,WEB,Tennessee,,,,,,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
"6617 Massey Ln, Memphis, TN, 38120, USA",,,C,Cart Maintenance,,MEMPHIS,,Monday,,,11/15/2024 05:10:06 PM,Solid Waste Management,,Solid Waste Management,,"6617 MASSEY LN, MEMPHIS, TN, 38120, USA",CITIZEN,7183122,7183122,,10441,,11/15/2024 05:10:06 PM,,,"6617 MASSEY LN, MEMPHIS, TN, 38120, USA",,,,,,,,,11/15/2024 05:06:00 PM,Low,Open,SWM-Missing Cart,,,,WEB,Tennessee,MASSEY LN,,,,C1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
9054 CHIMNEYROCK BLVD,,,E,Garbage,,MEMPHIS,,Thursday,,,11/15/2024 03:09:31 PM,Solid Waste Management,,Solid Waste Management,,9054 CHIMNEYROCK BLVD MEMPHIS TENNESSEE,Memphis,7183032,7183032,,10431,,11/15/2024 03:23:13 PM,,jjackson_AWPM,9054 CHIMNEYROCK BLVD,,,A,,,,096615 B00003,,11/15/2024 03:07:00 PM,Low,Open,SWM-Missed Bulk Trash,,,,WEB,Tennessee,CHIMNEYROCK BLVD,,,,E1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
958 NEFLER AVE,,,C,Billing,,MEMPHIS,,Friday,,,11/15/2024 09:43:05 AM,Solid Waste Management,,Solid Waste Management,,958 NEFLER AVE MEMPHIS TENNESSEE,Memphis,7182827,7182827,,10442,,11/15/2024 03:23:13 PM,,jjackson_AWPM,958 NEFLER AVE,,,A,,,,034077  00015,,11/15/2024 09:40:00 AM,Low,Open,SWM-New Start Garbage Request,,,,WEB,Tennessee,NEFLER AVE,,,,C2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
"3655 Kenwood Ave, Memphis TN 38122, United States",,,B,Garbage,,MEMPHIS,,Wednesday,,,11/15/2024 08:04:08 AM,Solid Waste Management,,Solid Waste Management,,"3655 KENWOOD AVE, MEMPHIS TN 38122, UNITED STATES",MEMPHIS,7182735,7182735,,10431,,11/15/2024 03:23:13 PM,,jjackson_AWPM,"3655 KENWOOD AVE, MEMPHIS TN 38122, UNITED STATES",,,A,,,,044078  00009,,11/14/2024 06:00:00 PM,Medium,Open,SWM-Missed Bulk Trash,,,,WEB,TN,KENWOOD AVE,,,,B3,POINT (-90.04925 35.14976),Not Applicable,7,,,8,5
3766 UNIVERSITY ST,,,A,Recycle,,MEMPHIS,,Thursday,,,11/15/2024 04:01:35 PM,Solid Waste Management,,Solid Waste Management,,3766 UNIVERSITY ST MEMPHIS TENNESSEE,Memphis,7183087,7183087,,10435,,11/15/2024 04:01:35 PM,,,3766 UNIVERSITY ST,,,,,,,071040  00023,,11/15/2024 04:00:00 PM,Low,Open,SWM-Recycling Missed,,,,WEB,Tennessee,UNIVERSITY ST,,,,A1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
652 GILLEAS AVE,,,,Weeds,,MEMPHIS,,,,,11/15/2024 09:40:02 AM,GROUNDS MAINTENANCE,,Public Works,11/23/2024 03:34:38 AM,652 GILLEAS AVE MEMPHIS TN 38109,MEMPHIS,50076333,50076333,,10204,,11/15/2024 09:40:02 AM,,,652 GILLEAS AVE,,,,,,,075028  00029,38109,11/15/2024 09:40:02 AM,Low,In Progress,CW-Weeds Vacant Houses,VIOLATION,,Property in Violation,WEB,TN,GILLEAS AVE,,,154,,POINT (-90.12608 35.08219),Not Applicable,6,,,14,12
4637 APPLEGATE RD,,,D,Garbage,,MEMPHIS,,Wednesday,,,11/15/2024 12:49:08 PM,Solid Waste Management,,Solid Waste Management,,4637 APPLEGATE RD MEMPHIS TENNESSEE,Memphis,7182962,7182962,,10431,,11/15/2024 03:23:13 PM,,jjackson_AWPM,4637 APPLEGATE RD,,,A,,,,076078  00006,,11/15/2024 12:47:00 PM,Low,Open,SWM-Missed Bulk Trash,,,,WEB,Tennessee,APPLEGATE RD,,,,D2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
2561 Overton crossing st,,,,,,MEMPHIS,,,,,11/15/2024 09:38:56 AM,DRAIN MAINTENANCE,,Public Works,11/22/2024 03:36:37 AM,2561 OVERTON CROSSING ST MEMPHIS TENNESSEE,MEMPHIS,50076331,50076331,,29763,,11/15/2024 09:38:56 AM,,,2561 OVERTON CROSSING ST,014,,,,,,8301236782,,11/15/2024 03:36:00 AM,Medium,Open,PW (DM)-REPAIR INLET,,,,WEB,Tennessee,OVERTON CROSSING ST,,,,,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
6845 BACKBAY CV,,,E,Garbage,,MEMPHIS,,Tuesday,,,11/15/2024 12:51:09 PM,Solid Waste Management,,Solid Waste Management,,6845 BACKBAY CV MEMPHIS TENNESSEE,Memphis,7182963,7182963,,10432,,11/15/2024 03:23:13 PM,,jjackson_AWPM,6845 BACKBAY CV,,,A,,,,093718 E00032,,11/15/2024 12:48:00 PM,Low,Open,SWM-Garbage Missed,,,,WEB,Tennessee,BACKBAY CV,,,,E1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
"3468 Philsdale Ave, Memphis, TN, 38111, USA",,,C,Garbage,,MEMPHIS,,Tuesday,,,11/15/2024 03:11:32 PM,Solid Waste Management,,Solid Waste Management,,"3468 PHILSDALE AVE, MEMPHIS, TN, 38111, USA",CITIZEN,7183037,7183037,,10432,,11/15/2024 03:23:13 PM,,jjackson_AWPM,"3468 PHILSDALE AVE, MEMPHIS, TN, 38111, USA",,,A,,,,,,11/15/2024 03:08:00 PM,Low,Open,SWM-Garbage Missed,,,,WEB,Tennessee,PHILSDALE AVE,,,,C3,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
498 E GAGE AVE,,,,Weeds,,MEMPHIS,,,,,11/15/2024 10:50:40 AM,GROUNDS MAINTENANCE,,Public Works,11/23/2024 04:47:15 AM,498 E GAGE AVE MEMPHIS TN 38106,MEMPHIS,50076375,50076375,,10204,,11/15/2024 10:50:40 AM,,,498 E GAGE AVE,,,,,,,049011  00023,38106,11/15/2024 10:50:40 AM,Low,In Progress,CW-Weeds Vacant Houses,VIOLATION,,Property in Violation,WEB,TN,E GAGE AVE,,,133,,POINT (-90.05211 35.11597),Not Applicable,6,,1,14,6
7788 DEER RUN CV,,,E,Cart Maintenance,,MEMPHIS,,Friday,,,11/15/2024 08:44:21 AM,Solid Waste Management,,Solid Waste Management,,7788 DEER RUN CV MEMPHIS TENNESSEE,Memphis,7182766,7182766,,12747,,11/15/2024 03:23:13 PM,,jjackson_AWPM,7788 DEER RUN CV,,,A,,,,096924 A00022,,11/15/2024 08:43:00 AM,Low,Open,SWM-Missing Recycle Cart,,,,WEB,Tennessee,DEER RUN CV,,,,E2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
2779 IROQUOIS RD,,,B,Garbage,,MEMPHIS,,Thursday,,,11/15/2024 02:21:16 PM,Solid Waste Management,,Solid Waste Management,,2779 IROQUOIS RD MEMPHIS TENNESSEE,Memphis,7182985,7182985,,10432,,11/15/2024 03:23:13 PM,,jjackson_AWPM,2779 IROQUOIS RD,,,A,,,,045007  00005,,11/15/2024 02:18:00 PM,Low,Open,SWM-Garbage Missed,,,,WEB,Tennessee,IROQUOIS RD,,,,B1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
"153 Roberta Dr, Memphis TN 38112, United States",,,,Maintenance-Potholes,,MEMPHIS,,,,,11/15/2024 05:00:21 PM,STREET MAINTENANCE,,Public Works,,"153 ROBERTA DR, MEMPHIS TN 38112, UNITED STATES",MEMPHIS,7183119,7183119,,10266,,11/15/2024 05:00:21 PM,,,"153 ROBERTA DR, MEMPHIS TN 38112, UNITED STATES",037,,,,,,028039  00017,,11/14/2024 06:00:00 PM,Medium,Open,PW (SM)-Potholes,,,,WEB,TN,ROBERTA DR,,,,,POINT (-90.04925 35.14976),Not Applicable,7,,,8,5
3393 BEREA RD,,,D,Garbage,,MEMPHIS,,Friday,,,11/15/2024 02:31:18 PM,Solid Waste Management,,Solid Waste Management,,3393 BEREA RD MEMPHIS TENNESSEE,Memphis,7182994,7182994,,10431,,11/15/2024 03:23:13 PM,,jjackson_AWPM,3393 BEREA RD,,,A,,,,075072  00005,,11/15/2024 02:27:00 PM,Low,Open,SWM-Missed Bulk Trash,,,,WEB,Tennessee,BEREA RD,,,,D3,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
3961 N TREZEVANT ST,,,,Others,,MEMPHIS,11/15/2024 09:45:00 AM,,,,11/15/2024 08:20:46 AM,ENVIRONMENTAL MAINTENANCE,,Public Works,,3961 N TREZEVANT ST MEMPHIS TENNESSEE 38127,MEMPHIS,50076299,50076299,,10688,,11/15/2024 09:44:24 AM,,,3961 N TREZEVANT ST,003,,,,,,071048  00270,38127,11/15/2024 02:19:37 AM,Low,Closed,EMI-Sewer Backup,,,KNOCKED WATER HEAVY ROOTS IN PROPERTY NEED A PLUMBER SPOKE,WEB,Tennessee,N TREZEVANT ST,,,,,POINT (-89.99916 35.21217),Not Applicable,7,,,1,23
3860 AUSTIN PEAY HWY,,,,,VIOLATION (NS),MEMPHIS,,,,,11/15/2024 10:56:49 AM,CODE ENFORCEMENT,,Public Works,12/16/2024 10:55:23 AM,3860 AUSTIN PEAY HWY MEMPHIS TENNESSEE 38128,MEMPHIS,50076376,50076376,,34748,,11/15/2024 11:29:41 AM,,,3860 AUSTIN PEAY HWY,,,,,,,087004  00104,38128,11/15/2024 10:55:00 AM,Low,In Progress,COMM-Junky Property,VOYC-COMM,,,WEB,Tennessee,AUSTIN PEAY HWY,,,,,POINT (-89.91808 35.20773),Not Applicable,1,,,2,24
"3783 Douglass Ave, Memphis TN 38111, United States",,,C,Cart Maintenance,,MEMPHIS,,Tuesday,,,11/15/2024 09:08:46 AM,Solid Waste Management,,Solid Waste Management,,"3783 DOUGLASS AVE, MEMPHIS TN 38111, UNITED STATES",MEMPHIS,7182788,7182788,,10668,,11/15/2024 03:23:13 PM,,jjackson_AWPM,"3783 DOUGLASS AVE, MEMPHIS TN 38111, UNITED STATES",,,A,,,,046035  00012,,11/14/2024 06:00:00 PM,Medium,Open,SWM-Carts Out After-hours,,,,WEB,TN,DOUGLASS AVE,,,,C1,POINT (-90.04925 35.14976),Not Applicable,7,,,8,5
1082 SPRINGDALE ST,,,A,Recycle,,MEMPHIS,11/15/2024 12:00:00 AM,Wednesday,,,11/15/2024 12:17:00 PM,Solid Waste Management,,Solid Waste Management,,1082 SPRINGDALE ST MEMPHIS TENNESSEE,Memphis,7182931,7182931,,10435,,11/15/2024 03:06:37 PM,,,1082 SPRINGDALE ST,,,,,,,042038  00093,,11/15/2024 12:14:00 PM,Low,Closed,SWM-Recycling Missed,SWMRBM1,,pu,WEB,Tennessee,SPRINGDALE ST,,,,A2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
"1135-1199 Scaife Rd, Memphis, TN, 38116, USA",,,D,Cart Maintenance,,MEMPHIS,,Wednesday,,,11/15/2024 08:20:14 AM,Solid Waste Management,,Solid Waste Management,,"1135-1199 SCAIFE RD, MEMPHIS, TN, 38116, USA",CITIZEN,7182749,7182749,,10667,,11/15/2024 03:23:13 PM,,jjackson_AWPM,"1135-1199 SCAIFE RD, MEMPHIS, TN, 38116, USA",,,A,,,,,,11/15/2024 08:14:00 AM,Low,Open,SWM-Dead Animal Collection,,,,WEB,Tennessee,SCAIFE RD,,,,D2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
2675 HERNANDO RD,,,,Weeds,,MEMPHIS,,,,,11/15/2024 09:19:15 AM,GROUNDS MAINTENANCE,,Public Works,11/23/2024 03:18:21 AM,2675 HERNANDO RD MEMPHIS TN 38106,MEMPHIS,50076319,50076319,,10205,,11/15/2024 09:19:15 AM,,,2675 HERNANDO RD,,,,,,,060172  00013,38106,11/15/2024 09:19:15 AM,Low,In Progress,CW-Weeds Vacant Lots,VIOLATION,,Property in Violation,WEB,TN,HERNANDO RD,,,135,,POINT (-90.05211 35.11597),Not Applicable,6,,1,14,6
1335 ISABELLE ST,,,,Others,,MEMPHIS,11/15/2024 04:15:00 PM,,,,11/15/2024 02:47:51 PM,ENVIRONMENTAL MAINTENANCE,,Public Works,,1335 ISABELLE ST MEMPHIS TENNESSEE 38122,MEMPHIS,50076420,50076420,,10688,,11/15/2024 04:16:21 PM,,,1335 ISABELLE ST,023,,,,,,043086  00012,38122,11/15/2024 08:45:01 AM,Low,Closed,EMI-Sewer Backup,,,"EH-221
M/L DOWN RUNNIBG HARDSPOT IN PROPERTY
NOT CLEAR/NEEDS PLUMBER/SPOKE",WEB,Tennessee,ISABELLE ST,,,,,POINT (-89.91149 35.15371),Not Applicable,4,,,6,20
774 TAMPA AVE,,,D,Garbage,,MEMPHIS,,Thursday,,,11/15/2024 08:38:19 AM,Solid Waste Management,,Solid Waste Management,,774 TAMPA AVE MEMPHIS TENNESSEE,Memphis,7182759,7182759,,10431,,11/15/2024 03:23:13 PM,,jjackson_AWPM,774 TAMPA AVE,,,A,,,,049085  00016,,11/15/2024 08:35:00 AM,Low,Open,SWM-Missed Bulk Trash,,,,WEB,Tennessee,TAMPA AVE,,,,D2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
